,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
243,Aaron Ross,CB,193.0,4.44,34.0,118.0,6.67,4.15,19.0,20.0,182.88
304,Jonathan Wade,CB,195.0,4.36,40.5,126.0,7.07,4.4,8.0,84.0,152.4
317,C.J. Wilson,CB,195.0,4.62,37.5,127.0,6.81,4.2,2.0,226.0,185.42000000000002
318,Josh Wilson,CB,189.0,4.39,36.5,120.0,7.07,4.43,25.0,55.0,175.26
325,Eric Wright,CB,192.0,4.36,36.5,123.0,6.93,4.23,30.0,53.0,154.94
32,Zack Bowman,CB,197.0,4.39,30.5,122.0,7.1,4.21,10.0,142.0,182.88
116,Charles Godfrey,CB,207.0,4.43,32.5,121.0,7.28,4.4,29.0,67.0,182.88
161,Chevis Jackson,CB,192.0,4.52,36.0,125.0,6.96,4.15,12.0,68.0,182.88
163,Mike Jenkins,CB,197.0,4.38,34.0,117.0,7.21,4.4,23.0,25.0,152.4
182,Justin King,CB,192.0,4.31,34.0,127.0,7.14,4.31,10.0,101.0,154.94
194,Dwight Lowery,CB,201.0,4.54,33.5,116.0,7.31,4.38,21.0,113.0,154.94
207,Leodis McKelvin,CB,190.0,4.38,33.5,121.0,7.06,4.1,18.0,11.0,152.4
214,Antwaun Molden,CB,198.0,4.39,37.5,129.0,6.85,4.14,4.0,79.0,185.42000000000002
242,Tracy Porter,CB,188.0,4.37,34.0,123.0,7.2,4.07,19.0,40.0,154.94
262,Dominique Rodgers-Cromartie,CB,184.0,4.29,38.5,131.0,6.74,4.17,29.0,16.0,185.42000000000002
301,Aqib Talib,CB,202.0,4.44,38.0,131.0,6.82,4.22,23.0,20.0,185.42000000000002
313,Justin Tryon,CB,190.0,4.42,32.5,119.0,7.41,4.28,6.0,124.0,175.26
321,Terrence Wheatley,CB,187.0,4.37,36.5,128.0,6.74,4.17,3.0,62.0,152.4
2,Asher Allen,CB,194.0,4.48,35.0,115.0,6.93,4.3,18.0,86.0,175.26
7,Kevin Barnes,CB,187.0,4.45,38.5,128.0,6.72,3.96,6.0,80.0,182.88
37,Joe Burnett,CB,192.0,4.58,35.5,118.0,6.68,4.25,2.0,168.0,175.26
40,Darius Butler,CB,183.0,4.41,43.0,134.0,6.92,4.18,16.0,41.0,152.4
70,Vontae Davis,CB,203.0,4.4,36.0,125.0,6.75,4.07,25.0,25.0,154.94
90,Bradley Fletcher,CB,196.0,4.44,38.5,122.0,7.04,4.29,20.0,66.0,182.88
98,Coye Francies,CB,185.0,4.63,36.0,123.0,6.81,4.24,2.0,191.0,182.88
122,Macho Harris,CB,198.0,4.46,33.5,118.0,6.68,3.98,9.0,157.0,154.94
137,Brandon Hughes,CB,182.0,4.4,36.5,128.0,6.9,4.23,4.0,148.0,152.4
147,Malcolm Jenkins,CB,204.0,4.51,33.0,124.0,6.59,4.08,30.0,14.0,182.88
188,Sherrod Martin,CB,198.0,4.43,36.0,123.0,6.6,3.98,17.0,59.0,185.42000000000002
