,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
309,Bjoern Werner,DE,266.0,4.83,31.0,111.0,7.3,4.4,20.0,24.0,190.5
11,Anthony Barr,OLB,255.0,4.66,34.5,119.0,6.82,4.19,46.0,9.0,195.58
29,Carl Bradford,OLB,250.0,4.76,37.5,122.0,7.25,4.3,0.0,121.0,185.42000000000002
51,Will Clarke,DE,271.0,4.77,32.0,112.0,7.26,4.57,6.0,88.0,198.12
53,Jadeveon Clowney,DE,266.0,4.53,37.5,124.0,7.27,4.43,40.0,1.0,195.58
63,Scott Crichton,DE,273.0,4.84,31.5,108.0,7.19,4.29,4.0,72.0,190.5
76,Kony Ealy,DE,273.0,4.92,31.0,114.0,6.83,4.45,13.0,60.0,193.04
83,I.K. Enemkpali,DE,261.0,4.86,34.0,112.0,7.67,4.65,3.0,210.0,185.42000000000002
168,Devon Kennard,OLB,249.0,4.7,30.0,113.0,7.25,4.32,25.0,174.0,190.5
176,Demarcus Lawrence,DE,251.0,4.8,34.5,113.0,7.46,4.31,35.0,34.0,190.5
195,Khalil Mack,OLB,251.0,4.65,40.0,128.0,7.08,4.18,66.0,5.0,190.5
199,Cassius Marsh,DE,252.0,4.89,32.0,108.0,7.08,4.25,10.0,108.0,193.04
202,Kareem Martin,DE,272.0,4.72,35.5,129.0,7.2,4.33,14.0,84.0,198.12
220,Zach Moore,DE,269.0,4.84,33.5,123.0,7.41,4.46,6.0,198.0,195.58
226,Trent Murphy,DE,250.0,4.86,35.5,118.0,6.78,4.2,31.0,47.0,195.58
230,Jonathan Newsome,OLB,247.0,4.73,34.0,117.0,7.31,4.63,8.0,166.0,190.5
266,Michael Sam,DE,261.0,4.91,25.5,114.0,7.8,4.7,0.0,249.0,187.96
276,Prince Shembo,OLB,253.0,4.71,38.5,122.0,7.29,4.31,4.0,139.0,185.42000000000002
280,Chris Smith,OLB,266.0,4.66,37.0,121.0,7.55,4.46,7.0,159.0,185.42000000000002
281,Marcus Smith,DE,251.0,4.66,35.0,121.0,7.48,4.47,4.0,26.0,190.5
287,Tyler Starr,OLB,250.0,4.95,32.0,116.0,6.64,4.15,0.0,255.0,193.04
44,Anthony Chickillo,DE,267.0,4.79,34.5,114.0,7.17,4.25,10.0,212.0,190.5
47,Frank Clark,DE,271.0,4.79,38.5,118.0,7.08,4.05,32.0,63.0,190.5
97,Kyle Emanuel,OLB,255.0,4.77,34.0,120.0,7.1,4.25,18.0,153.0,190.5
