,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
238,Ryne Robinson,WR,179.0,4.47,35.0,123.0,6.71,4.21,0.0,118.0,175.26
239,Laurent Robinson,WR,199.0,4.38,39.0,127.0,6.83,4.28,15.0,75.0,187.96
263,Mike Sims-Walker,WR,209.0,4.35,36.5,121.0,6.92,4.39,17.0,79.0,187.96
269,Steve Smith,WR,197.0,4.44,38.0,120.0,6.68,4.19,23.0,51.0,182.88
283,Chansi Stuckey,WR,197.0,4.56,35.0,120.0,6.91,4.14,13.0,235.0,154.94
288,Courtney Taylor,WR,204.0,4.5,36.0,122.0,7.22,4.28,2.0,197.0,187.96
315,Paul Williams,WR,205.0,4.45,38.5,125.0,7.03,4.24,0.0,80.0,185.42000000000002
20,Earl Bennett,WR,209.0,4.48,26.0,110.0,7.15,4.22,18.0,70.0,154.94
49,Keenan Burton,WR,201.0,4.44,38.5,125.0,6.77,4.2,6.0,128.0,182.88
52,Andre Caldwell,WR,204.0,4.35,33.0,124.0,6.75,4.11,11.0,97.0,182.88
87,Harry Douglas,WR,176.0,4.51,31.0,120.0,6.57,4.12,26.0,84.0,154.94
109,Pierre Garcon,WR,210.0,4.42,36.5,125.0,6.9,4.19,31.0,205.0,182.88
131,James Hardy,WR,217.0,4.45,31.5,125.0,6.84,4.2,2.0,41.0,195.58
132,Justin Harper,WR,213.0,4.56,28.5,120.0,7.03,4.43,0.0,215.0,190.5
159,Dexter Jackson,WR,182.0,4.33,29.5,122.0,6.81,4.38,0.0,58.0,175.26
168,Jaymar Johnson,WR,177.0,4.5,32.0,118.0,6.75,4.18,0.0,193.0,154.94
196,Mario Manningham,WR,181.0,4.59,32.0,117.0,7.34,4.27,24.0,95.0,182.88
216,Kenneth Moore,WR,195.0,4.47,28.0,120.0,7.09,4.3,3.0,136.0,154.94
224,Jordy Nelson,WR,217.0,4.51,31.0,123.0,7.03,4.35,33.0,36.0,190.5
260,Kevin Robinson,WR,202.0,4.69,27.5,115.0,7.31,4.77,0.0,182.0,154.94
263,Eddie Royal,WR,184.0,4.39,36.0,124.0,7.07,4.34,23.0,42.0,152.4
280,Jerome Simpson,WR,199.0,4.42,37.5,136.0,7.08,4.52,11.0,46.0,187.96
286,Marcus Smith,WR,221.0,4.51,26.5,111.0,7.1,4.42,0.0,106.0,185.42000000000002
304,Devin Thomas,WR,216.0,4.41,28.0,126.0,7.15,4.26,4.0,34.0,187.96
39,Deon Butler,WR,182.0,4.31,34.5,118.0,7.01,4.48,8.0,91.0,152.4
58,Austin Collie,WR,200.0,4.53,34.0,120.0,6.78,4.24,19.0,127.0,185.42000000000002
76,Jarett Dillard,WR,191.0,4.5,42.5,129.0,7.1,4.41,6.0,144.0,152.4
124,Brian Hartline,WR,195.0,4.49,34.5,120.0,6.65,4.12,29.0,108.0,187.96
127,Darrius Heyward-Bey,WR,210.0,4.3,38.5,126.0,6.8,4.18,20.0,7.0,187.96
168,Johnny Knox,WR,185.0,4.34,35.0,122.0,6.81,4.15,40.0,140.0,154.94
205,Kenny McKinley,WR,189.0,4.37,37.0,113.0,6.96,4.1,0.0,141.0,182.88
212,Marko Mitchell,WR,218.0,4.43,32.0,116.0,7.04,4.33,0.0,243.0,193.04
287,Sammie Stroughter,WR,189.0,4.45,30.0,110.0,7.03,4.28,10.0,233.0,175.26
296,Mike Thomas,WR,195.0,4.3,40.5,126.0,6.65,4.28,23.0,107.0,172.72
301,Tiquan Underwood,WR,184.0,4.31,41.5,129.0,6.62,4.11,9.0,253.0,185.42000000000002
312,Mike Wallace,WR,199.0,4.33,40.0,129.0,6.9,4.27,42.0,84.0,182.88
30,Dezmon Briscoe,WR,207.0,4.66,33.0,115.0,7.1,4.57,12.0,191.0,187.96
37,Antonio Brown,WR,186.0,4.56,33.5,105.0,6.98,4.18,48.0,195.0,152.4
91,Marcus Easley,WR,210.0,4.39,34.0,123.0,6.94,4.6,2.0,107.0,190.5
96,Jacoby Ford,WR,186.0,4.28,33.5,115.0,7.0,4.44,24.0,108.0,175.26
104,David Gettis,WR,217.0,4.43,34.5,124.0,6.94,4.41,6.0,198.0,190.5
107,Mardy Gilyard,WR,187.0,4.61,39.0,116.0,6.92,4.4,2.0,99.0,182.88
129,Trindon Holliday,WR,166.0,4.34,42.0,116.0,6.54,4.48,6.0,197.0,165.1
159,Brandon LaFell,WR,211.0,4.58,36.0,115.0,6.81,4.23,32.0,78.0,187.96
199,Carlton Mitchell,WR,215.0,4.46,36.0,122.0,6.96,4.55,0.0,177.0,190.5
233,Taylor Price,WR,204.0,4.4,37.0,114.0,6.82,4.34,1.0,90.0,182.88
237,David Reed,WR,191.0,4.56,37.0,114.0,6.95,4.38,4.0,156.0,182.88
240,Andre Roberts,WR,195.0,4.4,36.0,120.0,6.77,4.15,18.0,88.0,154.94
248,Emmanuel Sanders,WR,186.0,4.4,39.5,126.0,6.64,4.1,31.0,82.0,154.94
274,Golden Tate,WR,199.0,4.42,35.0,120.0,7.12,4.34,33.0,60.0,152.4
310,Damian Williams,WR,197.0,4.52,38.0,118.0,6.79,4.24,10.0,77.0,185.42000000000002
314,Kyle Williams,WR,188.0,4.4,33.0,118.0,7.0,4.19,6.0,206.0,152.4
315,Mike Williams,WR,221.0,4.53,33.5,116.0,6.9,4.31,27.0,101.0,185.42000000000002
16,Jon Baldwin,WR,228.0,4.49,42.0,129.0,7.07,4.34,12.0,26.0,193.04
32,Vincent Brown,WR,187.0,4.68,33.5,121.0,6.64,4.25,9.0,82.0,154.94
38,Stephen Burton,WR,221.0,4.5,34.5,117.0,7.04,4.31,0.0,236.0,185.42000000000002
61,Randall Cobb,WR,191.0,4.46,33.5,115.0,7.08,4.34,46.0,64.0,152.4
106,A.J. Green,WR,211.0,4.48,34.5,126.0,6.91,4.21,58.0,4.0,193.04
112,Leonard Hankerson,WR,209.0,4.4,36.0,117.0,6.94,4.21,12.0,79.0,185.42000000000002
115,Dwayne Harris,WR,203.0,4.53,34.0,111.0,6.77,4.21,12.0,176.0,152.4
149,Jerrel Jernigan,WR,185.0,4.46,37.5,124.0,7.07,4.25,4.0,83.0,175.26
156,Julio Jones,WR,220.0,4.34,38.5,135.0,6.66,4.25,58.0,6.0,190.5
177,Greg Little,WR,231.0,4.51,40.5,129.0,6.8,4.21,28.0,59.0,187.96
205,Denarius Moore,WR,194.0,4.43,36.0,118.0,6.78,4.15,16.0,148.0,182.88
222,Niles Paul,WR,224.0,4.45,34.5,117.0,6.9,4.14,5.0,155.0,185.42000000000002
225,Austin Pettis,WR,209.0,4.56,33.5,120.0,6.68,3.88,9.0,78.0,190.5
241,Aldrick Robinson,WR,184.0,4.35,40.0,126.0,6.65,4.09,5.0,178.0,152.4
252,Greg Salas,WR,210.0,4.53,37.0,120.0,6.65,4.1,2.0,112.0,185.42000000000002
269,Cecil Shorts,WR,205.0,4.5,34.5,114.0,6.5,4.07,19.0,114.0,182.88
279,Torrey Smith,WR,204.0,4.41,41.0,126.0,6.72,4.13,35.0,58.0,185.42000000000002
310,Ryan Whalen,WR,202.0,4.53,38.5,123.0,6.67,4.09,0.0,167.0,185.42000000000002
52,Danny Coale,WR,201.0,4.42,35.0,115.0,6.69,4.15,0.0,152.0,182.88
66,Juron Criner,WR,224.0,4.66,38.0,117.0,7.15,4.3,3.0,168.0,187.96
100,Chris Givens,WR,198.0,4.35,33.5,118.0,6.97,4.23,13.0,96.0,154.94
104,T.J. Graham,WR,188.0,4.34,33.5,120.0,6.77,4.18,14.0,69.0,154.94
123,Junior Hemingway,WR,225.0,4.48,35.5,124.0,6.59,3.98,4.0,238.0,185.42000000000002
126,Stephen Hill,WR,215.0,4.36,39.5,133.0,6.88,4.48,12.0,43.0,193.04
