,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
233,Eric Reid,S,213.0,4.53,40.5,134.0,6.99,4.22,28.0,18.0,185.42000000000002
275,D.J. Swearinger,S,208.0,4.67,37.0,124.0,6.7,4.11,14.0,57.0,152.4
295,Kenny Vaccaro,S,214.0,4.63,38.0,121.0,6.78,4.06,24.0,15.0,182.88
312,J.J. Wilcox,S,213.0,4.57,35.0,124.0,7.02,4.09,17.0,80.0,182.88
320,Shawn Williams,S,213.0,4.46,36.0,120.0,7.01,4.25,16.0,84.0,182.88
2,Mo Alexander,S,220.0,4.5,38.0,123.0,7.05,4.51,11.0,110.0,185.42000000000002
16,Nat Berhe,S,193.0,4.71,35.5,117.0,7.08,4.22,6.0,152.0,152.4
25,Tre Boston,S,204.0,4.58,35.0,116.0,7.04,4.31,21.0,128.0,182.88
40,Deone Bucannon,S,211.0,4.49,36.5,125.0,6.96,4.26,36.0,27.0,185.42000000000002
52,Ha Ha Clinton-Dix,S,208.0,4.58,33.0,119.0,7.16,4.16,30.0,21.0,185.42000000000002
71,Ahmad Dixon,S,212.0,4.64,32.0,111.0,7.55,4.5,0.0,248.0,182.88
73,Jonathan Dowling,S,190.0,4.52,33.5,118.0,7.04,4.24,0.0,247.0,190.5
135,Marqueston Huff,S,196.0,4.49,35.5,118.0,7.26,4.19,11.0,122.0,154.94
317,Brock Vereen,S,199.0,4.47,34.0,117.0,6.9,4.07,4.0,131.0,182.88
6,Adrian Amos,S,218.0,4.56,35.5,122.0,7.09,4.03,27.0,142.0,182.88
57,Landon Collins,S,228.0,4.53,35.0,120.0,7.38,4.33,35.0,33.0,182.88
116,Clayton Geathers,S,218.0,4.55,37.0,120.0,7.21,4.27,14.0,109.0,187.96
169,Kyshoen Jarrett,S,200.0,4.57,33.0,109.0,6.95,4.4,6.0,181.0,152.4
249,Damarious Randall,S,196.0,4.46,38.0,120.0,6.83,4.07,23.0,30.0,154.94
253,Jordan Richards,S,211.0,4.65,32.0,111.0,6.74,4.22,9.0,64.0,154.94
136,Deandre Houston-Carson,S,201.0,4.54,32.5,115.0,7.15,4.28,5.0,185.0,185.42000000000002
171,Miles Killebrew,S,217.0,4.65,38.0,127.0,6.93,4.18,6.0,111.0,187.96
172,Derrick Kindred,S,207.0,4.5,37.5,123.0,7.05,4.29,16.0,129.0,152.4
215,Jalen Mills,S,191.0,4.61,37.0,123.0,6.86,4.0,22.0,233.0,182.88
224,Keanu Neal,S,211.0,4.62,38.0,132.0,7.09,4.38,18.0,17.0,182.88
279,Justin Simmons,S,202.0,4.61,40.0,126.0,6.58,3.85,35.0,98.0,187.96
301,Darian Thompson,S,208.0,4.69,32.5,118.0,7.26,4.33,12.0,71.0,187.96
