,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
7,Jay Alford,DT,304.0,5.17,25.5,103.0,7.81,4.83,12.0,81.0,190.5
56,Adam Carriker,DE,296.0,4.9,33.5,110.0,7.06,4.18,24.0,13.0,198.12
117,Justin Harrell,DT,300.0,5.04,30.5,108.0,7.63,4.79,4.0,16.0,193.04
150,Antonio Johnson,DT,310.0,5.15,29.0,108.0,7.47,4.49,19.0,152.0,190.5
173,Ryan McBean,DT,286.0,4.98,28.0,108.0,7.79,4.46,11.0,132.0,193.04
174,Turk McBride,DT,277.0,4.81,31.0,108.0,7.1,4.12,13.0,54.0,187.96
184,Brandon Mebane,DT,309.0,5.15,24.0,106.0,7.94,4.65,33.0,85.0,185.42000000000002
237,Jay Richardson,DE,279.0,5.0,33.0,112.0,7.5,4.54,13.0,138.0,198.12
248,Clifton Ryan,DT,310.0,5.12,26.5,102.0,7.49,4.69,26.0,154.0,190.5
272,Paul Soliai,DT,344.0,5.1,29.5,103.0,7.66,4.69,20.0,108.0,193.04
12,Kentwan Balmer,DT,308.0,5.29,29.0,103.0,7.65,4.82,7.0,29.0,193.04
46,Red Bryant,DT,318.0,5.0,28.0,111.0,7.75,4.64,21.0,121.0,193.04
54,Calais Campbell,DE,290.0,5.04,29.5,111.0,7.45,4.69,34.0,50.0,203.2
85,Lionel Dotson,DT,296.0,5.38,25.0,99.0,7.62,4.75,0.0,245.0,193.04
92,Sedrick Ellis,DT,309.0,5.26,26.5,105.0,7.78,4.73,30.0,7.0,182.88
138,Nick Hayden,DT,291.0,5.14,27.0,108.0,7.55,4.54,12.0,181.0,193.04
183,Kendall Langford,DE,287.0,4.95,27.0,114.0,7.72,4.69,32.0,66.0,195.58
186,Trevor Laws,DT,304.0,5.09,30.5,103.0,7.37,4.49,7.0,47.0,185.42000000000002
218,Dre Moore,DT,305.0,4.84,28.0,105.0,7.73,4.55,2.0,115.0,193.04
228,Frank Okam,DT,347.0,5.32,23.0,104.0,8.07,4.95,4.0,151.0,193.04
243,Carlton Powell,DT,292.0,5.1,22.5,108.0,7.78,4.87,0.0,148.0,187.96
264,Ahtyba Rubin,DT,315.0,5.2,28.0,106.0,8.05,5.0,27.0,190.0,190.5
