,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
83,Phillip Dillard,ILB,245.0,4.65,31.5,106.0,7.16,4.43,0.0,115.0,182.88
92,A.J. Edds,OLB,246.0,4.62,33.0,117.0,7.19,4.28,0.0,119.0,193.04
106,Thaddeus Gibson,OLB,243.0,4.78,32.0,115.0,6.84,4.27,0.0,116.0,187.96
108,Travis Goethel,ILB,240.0,4.81,35.0,111.0,6.93,4.54,2.0,190.0,187.96
133,Josh Hull,ILB,237.0,4.93,32.5,115.0,6.86,4.07,6.0,254.0,190.5
200,Arthur Moats,OLB,246.0,4.64,36.5,122.0,7.22,4.37,14.0,178.0,182.88
205,Roddrick Muckelroy,OLB,246.0,4.68,31.0,110.0,7.25,4.39,5.0,131.0,187.96
210,Eric Norwood,OLB,245.0,4.71,36.5,115.0,7.08,4.23,4.0,124.0,185.42000000000002
239,Perry Riley,OLB,239.0,4.69,35.5,119.0,6.97,4.25,25.0,103.0,185.42000000000002
304,Dekoda Watson,OLB,240.0,4.55,40.0,134.0,7.06,4.11,10.0,217.0,185.42000000000002
306,Sean Weatherspoon,OLB,239.0,4.62,40.0,123.0,6.99,4.38,22.0,19.0,185.42000000000002
90,Mason Foster,OLB,245.0,4.75,31.0,110.0,7.14,4.45,26.0,84.0,185.42000000000002
128,Doug Hogue,OLB,235.0,4.62,36.0,121.0,7.09,4.57,5.0,157.0,187.96
157,Greg Jones,ILB,242.0,4.75,31.5,117.0,7.27,4.27,9.0,185.0,182.88
179,Greg Lloyd,ILB,246.0,4.8,32.0,109.0,7.17,4.46,0.0,237.0,185.42000000000002
192,Colin McCarthy,ILB,238.0,4.59,36.5,119.0,6.93,4.2,22.0,109.0,185.42000000000002
198,Von Miller,OLB,246.0,4.42,37.0,126.0,6.7,4.06,64.0,2.0,190.5
202,Mike Mohamed,ILB,239.0,4.65,32.0,115.0,6.7,4.0,1.0,189.0,190.5
208,Jonas Mouton,OLB,239.0,4.84,31.5,115.0,7.08,4.34,0.0,61.0,185.42000000000002
245,Brian Rolle,OLB,229.0,4.53,33.0,115.0,6.89,4.26,12.0,193.0,152.4
274,D.J. Smith,OLB,239.0,4.71,31.0,104.0,7.35,4.45,6.0,186.0,154.94
294,J.T. Thomas,OLB,241.0,4.65,30.5,114.0,7.23,4.28,13.0,195.0,185.42000000000002
311,Chris White,ILB,240.0,4.65,34.0,115.0,6.95,4.25,8.0,169.0,190.5
326,Martez Wilson,ILB,250.0,4.42,36.0,124.0,7.04,4.28,3.0,72.0,193.04
329,K.J. Wright,OLB,246.0,4.71,32.0,120.0,7.26,4.46,42.0,99.0,190.5
31,Nigel Bradham,OLB,241.0,4.56,37.0,121.0,7.18,4.37,28.0,105.0,187.96
45,Tank Carder,ILB,236.0,4.58,34.5,121.0,6.89,4.18,5.0,147.0,187.96
53,Audie Cole,ILB,246.0,4.76,35.0,114.0,6.96,4.29,7.0,210.0,193.04
72,Lavonte David,OLB,233.0,4.57,36.5,119.0,7.28,4.22,51.0,58.0,185.42000000000002
