,Player,Pos,Wt,40yd,Vertical,Broad Jump,3Cone,Shuttle,5AV,Pick,Height (cm)
168,Jesse James,TE,261.0,4.83,37.5,121.0,7.53,4.5,11.0,160.0,200.66
227,Nick O'Leary,TE,252.0,4.93,30.5,110.0,7.4,4.5,6.0,194.0,190.5
247,MyCole Pruitt,TE,251.0,4.58,38.0,118.0,7.25,4.37,1.0,143.0,187.96
304,Clive Walford,TE,251.0,4.79,35.0,120.0,7.32,4.57,7.0,68.0,193.04
317,Maxx Williams,TE,249.0,4.78,34.5,117.0,7.3,4.37,6.0,55.0,193.04
2,Jerell Adams,TE,247.0,4.64,32.5,117.0,7.05,4.31,6.0,184.0,195.58
89,Thomas Duarte,TE,231.0,4.72,33.5,118.0,6.97,4.24,0.0,231.0,187.96
126,Temarrick Hemingway,TE,244.0,4.71,30.5,115.0,6.88,4.31,0.0,177.0,195.58
135,Austin Hooper,TE,254.0,4.72,33.0,117.0,7.0,4.32,24.0,81.0,193.04
314,Nick Vannett,TE,257.0,4.76,30.5,111.0,7.05,4.2,6.0,94.0,198.12
